platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,224.2,2.46,33.41
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,226.2,2.47,33.41
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,228.2,2.48,33.41
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,230.1,2.48,33.41
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,232.1,2.49,33.41
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,234.1,2.49,33.42
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,236.1,2.5,33.42
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,238.1,2.52,33.42
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,240.0,2.55,33.43
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,242.0,2.57,33.44
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,244.0,2.6,33.44
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,246.0,2.63,33.45
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,248.0,2.65,33.46
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,249.9,2.68,33.46
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,251.9,2.73,33.47
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,253.9,2.79,33.49
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,255.9,2.8,33.49
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,257.9,2.82,33.5
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,259.8,2.89,33.51
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,261.8,2.94,33.52
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,263.8,2.97,33.53
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,265.8,2.99,33.53
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,267.8,2.98,33.53
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,269.7,2.99,33.54
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,271.7,3.02,33.55
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,273.7,3.07,33.56
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,275.7,3.1,33.57
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,277.7,3.13,33.58
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,279.6,3.18,33.59
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,281.6,3.29,33.61
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,283.6,3.38,33.62
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,285.6,3.38,33.63
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,287.6,3.44,33.63
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,289.5,3.42,33.64
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,291.5,3.41,33.64
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,293.5,3.43,33.64
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,295.5,3.42,33.65
